failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_189_normalized,smart_194_normalized,smart_197_normalized,smart_197_raw
0,0.333333333,-1,1,-1,0.722222222,-0.773584906,1,1,-0.783783784,1,-1
0,0.407407407,-0.333333333,1,-1,0.777777778,-0.547169811,1,1,-0.459459459,1,-1
0,0.777777778,-0.555555556,1,-1,0.555555556,-0.283018868,1,1,-0.72972973,1,-1
0,0.555555556,0.111111111,1,-1,0.833333333,-0.396226415,1,1,-0.243243243,1,-1
0,0.333333333,-1,1,-1,1,-0.547169811,1,1,-0.567567568,1,-1
0,0.333333333,-0.777777778,1,-1,0.833333333,-0.509433962,1,1,-0.567567568,1,-1
0,0.333333333,-0.777777778,1,-1,0.944444444,-0.509433962,1,1,-0.513513514,1,-1
0,0.407407407,0.555555556,1,-1,0.833333333,-0.396226415,1,1,-0.189189189,1,-1
0,0.777777778,0.111111111,1,-1,0.888888889,-0.698113208,1,1,-0.72972973,1,-1
0,0.851851852,-0.777777778,1,-1,1,-0.547169811,1,1,-0.459459459,1,-1
0,0.777777778,-1,1,-1,0.666666667,-0.735849057,1,1,-0.72972973,1,-1
0,0.851851852,-1,1,-1,-2.22E-16,-0.433962264,1,1,-0.621621622,1,-1
0,0.925925926,-1,1,-1,0.5,-0.58490566,1,1,-0.567567568,1,-1
0,0.777777778,-0.777777778,1,-1,0.111111111,-0.433962264,1,1,0.027027027,1,-1
0,0.555555556,-0.555555556,1,-1,0.888888889,-0.433962264,1,1,-0.297297297,1,-1
0,0.62962963,-0.555555556,1,-1,0.666666667,0.018867925,1,1,-0.675675676,1,-1
0,0.777777778,-0.555555556,1,-1,0.888888889,-0.433962264,1,1,-0.081081081,1,-1
0,0.62962963,-0.333333333,1,-1,0.722222222,-0.509433962,1,1,-0.621621622,1,-1
0,0.407407407,-0.555555556,1,-1,0.833333333,-0.396226415,1,1,-0.405405405,1,-1
0,0.925925926,-0.777777778,1,-1,1,-0.547169811,1,1,-0.459459459,1,-1
0,0.555555556,-1,1,-1,0.833333333,0.056603774,1,1,-0.405405405,1,-1
0,1,-0.777777778,1,-1,1,-0.698113208,1,1,-0.837837838,1,-1
0,0.777777778,-0.111111111,1,-1,0.944444444,-0.433962264,1,1,-0.189189189,1,-1
0,0.777777778,1,1,-1,0.944444444,-0.660377358,1,1,-0.675675676,1,-1
0,0.703703704,0.555555556,1,-1,0.888888889,-0.396226415,1,1,-0.135135135,1,-1
0,0.555555556,-0.333333333,1,-1,0.722222222,-0.698113208,1,1,-0.297297297,1,-1
0,0.777777778,-0.777777778,1,-1,0.388888889,-0.58490566,1,1,-0.621621622,1,-1
0,0.703703704,-0.555555556,1,-1,1,-0.509433962,1,1,-0.621621622,1,-1
0,0.925925926,-0.777777778,1,-1,0.944444444,-0.433962264,1,1,0.027027027,1,-1
0,0.333333333,0.111111111,1,-1,0.944444444,-0.433962264,1,1,-0.189189189,1,-1
0,0.925925926,-0.777777778,1,-1,0.388888889,-0.622641509,1,1,-0.243243243,1,-1
0,0.777777778,-0.777777778,1,-1,0.944444444,-0.698113208,1,1,-0.351351351,1,-1
0,0.555555556,-0.555555556,1,-1,0.833333333,-0.396226415,1,1,-0.135135135,1,-1
0,0.62962963,-0.333333333,1,-1,1,-0.547169811,1,1,-0.459459459,1,-1
0,-0.037037037,-0.777777778,1,-1,0.388888889,-0.547169811,1,1,-0.513513514,1,-1
0,0.925925926,-1,1,-1,0.888888889,-0.396226415,1,1,-0.405405405,1,-1
0,0.777777778,-0.777777778,1,-1,1,-0.660377358,1,1,-0.675675676,1,-1
0,1,-0.333333333,1,-1,1,-0.622641509,1,1,-0.675675676,1,-1
0,0.851851852,-1,1,-1,1,-0.547169811,1,1,-0.621621622,1,-1
0,0.333333333,-0.111111111,1,-1,0.888888889,-0.396226415,1,1,-0.243243243,1,-1
0,0.777777778,-0.777777778,1,-1,0.722222222,-0.698113208,1,1,-0.567567568,1,-1
0,0.777777778,-1,1,-1,0.944444444,-0.509433962,1,1,-0.513513514,1,-1
0,0.925925926,-0.777777778,1,-1,0.888888889,-0.169811321,1,1,-0.513513514,1,-1
0,0.777777778,-1,1,-1,0.944444444,-0.547169811,1,1,-0.513513514,1,-1
0,0.333333333,-0.333333333,1,-1,0.944444444,-0.509433962,1,1,-0.567567568,1,-1
0,0.851851852,-1,1,-1,0.944444444,-0.509433962,1,1,-0.675675676,1,-1
0,1,-0.333333333,1,-1,0.944444444,-0.660377358,1,1,-0.675675676,1,-1
0,0.851851852,-0.777777778,1,-1,0.944444444,-0.509433962,1,1,-0.567567568,1,-1
0,0.925925926,-0.111111111,1,-1,0.888888889,-0.433962264,1,1,-0.297297297,1,-1
0,0.777777778,-0.333333333,1,-1,0.944444444,-0.509433962,1,1,-0.567567568,1,-1
0,0.333333333,-0.777777778,1,-1,0.888888889,-0.433962264,1,1,-0.081081081,1,-1
0,0.925925926,-1,1,-1,0.277777778,-0.509433962,1,1,-0.513513514,1,-1
0,0.851851852,-1,1,-1,0.944444444,-0.509433962,0.555555556,1,-0.513513514,1,-0.958333333
0,0.925925926,-0.777777778,1,-1,0.111111111,-0.547169811,1,1,-0.513513514,1,-1
0,0.555555556,-1,1,-1,1,-0.547169811,1,1,-0.621621622,1,-1
0,0.851851852,-1,1,-1,0.944444444,-0.58490566,1,1,-0.621621622,1,-1
0,0.777777778,-0.777777778,1,-1,0.555555556,-0.698113208,1,1,-0.513513514,1,-1
0,0.925925926,0.111111111,1,-1,0.944444444,-0.509433962,1,1,-0.72972973,1,-1
0,-0.185185185,-0.777777778,1,-1,0.722222222,-0.735849057,1,1,-0.675675676,1,-1
0,0.851851852,0.111111111,1,-1,0.944444444,-0.547169811,1,1,-0.621621622,1,-1
0,0.555555556,-1,1,-1,0.722222222,0.094339623,0.62962963,1,-0.513513514,1,-0.833333333
0,0.111111111,-0.555555556,1,-1,0.888888889,-0.471698113,1,1,-0.459459459,1,-1
0,0.333333333,-0.777777778,1,-1,1,-0.547169811,1,1,-0.351351351,1,-1
0,0.703703704,-0.777777778,1,-1,0.611111111,-0.58490566,1,1,-0.297297297,1,-1
0,0.259259259,-1,1,-1,1,-0.547169811,1,1,-0.513513514,1,-1
0,0.925925926,-0.777777778,1,-1,1,-0.735849057,1,1,-0.459459459,1,-1
0,0.333333333,-0.555555556,1,-1,0.166666667,-0.660377358,1,1,-0.621621622,1,-1
0,0.777777778,-0.111111111,1,-1,0.611111111,-0.698113208,1,1,-0.621621622,1,-1
0,0.555555556,-0.777777778,1,-1,0.611111111,-0.698113208,1,1,-0.783783784,1,-1
0,0.555555556,-0.555555556,1,-1,0.944444444,-0.509433962,0.975308642,1,-0.621621622,1,-1
0,0.333333333,0.111111111,1,-1,0.944444444,-0.471698113,1,1,-0.513513514,1,-1
0,0.703703704,-0.777777778,1,-1,0.722222222,-0.660377358,1,1,-0.081081081,1,-1
0,0.851851852,-0.555555556,1,-1,0.944444444,-0.471698113,1,1,-0.513513514,1,-1
0,0.111111111,-1,1,-1,1,-0.547169811,1,1,-0.513513514,1,-1
0,-0.037037037,-1,1,-1,0.944444444,-0.471698113,1,1,-0.72972973,1,-1
0,0.851851852,-0.555555556,1,-1,0.666666667,-0.660377358,1,1,-0.459459459,1,-1
0,0.555555556,-0.777777778,1,-1,0.666666667,-0.547169811,1,1,-0.567567568,1,-1
0,0.555555556,-1,1,-1,0.944444444,-0.509433962,1,1,-0.567567568,1,-1
0,0.925925926,-0.333333333,1,-1,0.944444444,-0.58490566,1,1,-0.621621622,1,-1
0,0.777777778,-0.777777778,1,-1,0.666666667,-0.509433962,1,1,-0.513513514,1,-1
0,0.777777778,0.333333333,1,-1,0.666666667,-0.660377358,1,1,-0.621621622,1,-1
0,0.481481481,-1,1,-1,0.888888889,-0.433962264,1,1,-0.513513514,1,-1
0,1,-1,1,-1,-0.111111111,-0.547169811,1,1,-0.621621622,1,-1
0,0.925925926,-1,1,-1,0.888888889,-0.433962264,0.975308642,1,-0.081081081,1,-1
0,0.777777778,-0.777777778,1,-1,0.5,-0.547169811,1,1,-0.675675676,1,-1
0,0.777777778,-0.777777778,1,-1,0.777777778,-0.547169811,1,1,-0.567567568,1,-1
0,0.925925926,0.333333333,1,-1,1,-0.509433962,1,1,-0.567567568,1,-1
0,0.925925926,-0.111111111,1,-1,0.833333333,-0.396226415,1,1,-0.189189189,1,-1
0,0.777777778,-1,1,-1,1,-0.245283019,1,1,-0.351351351,1,-1
0,-0.111111111,-0.111111111,1,-1,0.5,-0.622641509,1,1,-0.135135135,1,-1
0,0.555555556,-0.777777778,1,-1,0.444444444,-0.622641509,1,1,-0.837837838,1,-1
0,0.925925926,-0.777777778,1,-1,0.944444444,-0.509433962,1,1,-0.72972973,1,-1
0,0.407407407,-0.555555556,1,-1,0.666666667,-0.698113208,1,1,-0.621621622,1,-1
0,0.851851852,-1,1,-1,0.944444444,-0.433962264,1,1,-0.189189189,1,-1
0,0.851851852,-0.777777778,1,-1,0.611111111,-0.622641509,1,1,-0.351351351,1,-1
0,0.851851852,-0.333333333,1,-1,0.666666667,-0.509433962,1,1,-0.567567568,1,-1
0,0.777777778,-0.777777778,1,-1,0.333333333,-0.660377358,1,1,-0.081081081,1,-1
0,0.259259259,-0.777777778,1,-1,1,-0.58490566,1,1,-0.351351351,1,-1
0,0.851851852,-0.555555556,1,-1,0.833333333,-0.396226415,1,1,-0.297297297,1,-1
0,0.111111111,-0.333333333,1,-1,1,-0.547169811,1,1,-0.675675676,1,-1
0,0.777777778,-0.333333333,1,-1,1,-0.471698113,1,1,-0.297297297,1,-1
0,0.703703704,-1,1,-1,0.888888889,-0.433962264,1,1,-0.243243243,1,-1
0,0.925925926,0.111111111,1,-1,0.944444444,-0.547169811,1,1,-0.783783784,1,-1
0,0.333333333,-0.777777778,1,-1,0.888888889,-0.433962264,1,1,-0.567567568,1,-1
0,0.777777778,-0.777777778,1,-1,0.722222222,-0.509433962,1,1,-0.621621622,1,-1
0,0.925925926,-1,1,-1,0.5,-0.547169811,1,1,-0.513513514,1,-1
0,0.555555556,-1,1,-1,0.611111111,-0.58490566,1,1,-0.567567568,1,-1
0,0.925925926,0.111111111,1,-1,0.833333333,-0.433962264,1,1,-0.405405405,1,-1
0,0.777777778,-0.777777778,1,-1,0.555555556,-0.58490566,1,1,-0.351351351,1,-1
0,0.777777778,-0.777777778,1,-1,0.944444444,-0.547169811,1,1,-0.72972973,1,-1
0,0.555555556,-0.111111111,1,-1,0.666666667,-0.471698113,1,1,-0.72972973,1,-1
0,0.703703704,0.333333333,1,-1,0.944444444,-0.660377358,1,1,-0.567567568,1,-1
0,0.925925926,-0.333333333,1,-1,0.888888889,-0.396226415,1,1,0.135135135,1,-1
0,0.777777778,-1,1,-1,0.833333333,-0.433962264,1,1,-0.459459459,1,-1
0,0.259259259,-1,1,-1,0.944444444,-0.471698113,1,1,-0.567567568,1,-1
0,0.62962963,-0.777777778,1,-1,0.888888889,-0.433962264,1,1,-0.72972973,1,-1
0,0.777777778,-0.333333333,1,-1,0.888888889,-0.471698113,1,1,-0.081081081,1,-1
0,0.333333333,-0.777777778,1,-1,0.555555556,-0.660377358,1,1,-0.675675676,1,-1
0,-0.185185185,-0.777777778,1,-1,0.388888889,-0.58490566,1,1,-0.405405405,1,-1
0,0.925925926,0.111111111,1,-1,0.944444444,-0.471698113,1,1,-0.621621622,1,-1
0,0.555555556,-0.777777778,1,-1,0.722222222,-0.509433962,1,1,-0.513513514,1,-1
0,0.925925926,0.111111111,1,-1,0.944444444,-0.509433962,1,1,-0.567567568,1,-1
0,0.925925926,-0.777777778,1,-1,0.888888889,-0.471698113,1,1,-0.027027027,1,-1
0,0.407407407,-0.333333333,1,-1,0.722222222,-0.622641509,1,1,-0.675675676,1,-1
0,0.555555556,0.333333333,1,-1,0.944444444,-0.509433962,1,1,-0.513513514,1,-1
0,0.851851852,-1,1,-1,0.833333333,-0.509433962,1,1,-0.72972973,1,-1
0,0.851851852,-1,1,-1,0.388888889,-0.58490566,1,1,-0.621621622,1,-1
0,0.851851852,-0.777777778,1,-1,1,-0.471698113,1,1,-0.135135135,1,-1
0,0.703703704,-0.333333333,1,-1,0.888888889,-0.396226415,1,1,-0.459459459,1,-1
0,0.185185185,-1,1,-1,0.5,-0.660377358,1,1,-0.72972973,1,-1
0,0.777777778,-0.333333333,1,-1,0.944444444,-0.471698113,1,1,-0.567567568,1,-1
0,0.333333333,-1,1,-1,0.333333333,-0.660377358,1,1,-0.297297297,1,-1
0,0.037037037,-0.555555556,1,-1,0.888888889,-0.471698113,1,1,-0.297297297,1,-1
0,0.777777778,-0.777777778,1,-1,0.222222222,-0.509433962,1,1,-0.513513514,1,-1
0,1,-1,1,-1,0.944444444,-0.547169811,1,1,-0.621621622,1,-1
0,0.481481481,-1,1,-1,0.166666667,-0.58490566,1,1,-0.837837838,1,-1
0,0.925925926,-0.333333333,1,-1,0.555555556,-0.811320755,1,1,-0.783783784,1,-1
0,0.259259259,-1,1,-1,0.944444444,-0.433962264,1,1,-0.243243243,1,-1
0,0.925925926,-1,1,-1,0.833333333,-0.396226415,1,1,-0.675675676,1,-1
0,0.703703704,-0.333333333,1,-1,0.888888889,-0.396226415,1,1,-0.297297297,1,-1
0,0.925925926,-0.333333333,1,-1,0.944444444,-0.509433962,1,1,-0.351351351,1,-1
0,-0.259259259,-0.777777778,1,-0.999102334,1,-0.547169811,1,1,-0.675675676,1,-1
0,0.777777778,-1,1,-1,1,-0.433962264,1,1,-0.513513514,1,-1
0,0.777777778,-1,1,-1,0.944444444,-0.433962264,1,1,-0.459459459,1,-1
0,0.777777778,-0.777777778,1,-1,0.888888889,-0.396226415,1,1,0.081081081,1,-1
0,0.851851852,-1,1,-1,0.833333333,-0.433962264,1,1,-0.297297297,1,-1
0,0.777777778,-0.111111111,1,-1,0.944444444,-0.509433962,1,1,-0.621621622,1,-1
0,0.62962963,-0.555555556,1,-1,-0.333333333,-0.547169811,1,1,-0.567567568,1,-1
0,0.111111111,-0.333333333,1,-1,0.944444444,-0.509433962,1,1,-0.567567568,1,-1
0,0.925925926,-0.555555556,1,-1,1,-0.433962264,1,1,-0.513513514,1,-1
0,0.703703704,-1,1,-1,0.5,-0.622641509,0.925925926,1,-0.027027027,1,-0.958333333
0,0.555555556,-0.777777778,1,-1,0.944444444,-0.547169811,1,1,-0.513513514,1,-1
0,0.555555556,-1,1,-1,0.888888889,-0.433962264,1,1,0.027027027,1,-1
0,0.62962963,-0.777777778,1,-1,0.388888889,-0.547169811,1,1,-0.567567568,1,-1
0,0.777777778,-1,1,-1,0.944444444,-0.547169811,1,1,-0.567567568,1,-1
0,0.777777778,-0.777777778,1,-1,0.555555556,-0.58490566,1,1,-0.405405405,1,-1
0,0.777777778,-0.111111111,1,-1,0.944444444,-0.245283019,1,1,-0.405405405,1,-1
0,0.851851852,-0.777777778,1,-1,0.055555556,-0.547169811,1,1,-0.513513514,1,-1
0,0.185185185,-0.777777778,1,-1,1,-0.660377358,1,1,-0.72972973,1,-1
